model,substrate,quant,stack,trials,pass_rate,clean_pass_rate,mean_score,classified_rate,cascade_rate,echo_rate,avg_distractors,avg_missing_required,stability_score,top_failure
27b,base,base_f16,baseline,4800,0.8823,0.8027,0.922,0.9567,0.0171,0.0133,0.0894,0.285,0.7735,none
27b,base,base_f16,cognitive_25_structural_75,4800,0.9715,0.8644,0.9763,0.9906,0.0152,0.0206,0.0977,0.049,0.8454,none
27b,base,base_f16,cognitive_cyber_equal,4800,0.9625,0.8083,0.9739,0.9919,0.0215,0.0675,0.104,0.0479,0.7777,none
27b,base,base_f16,cognitive_only,4800,0.9623,0.8271,0.9737,0.9912,0.0192,0.0452,0.1077,0.0523,0.8011,none
27b,base,base_f16,cognitive_structural_equal,4800,0.9688,0.8458,0.9752,0.9896,0.0181,0.0335,0.1042,0.0458,0.8231,none
27b,base,base_f16,cyber_25_structural_75,4800,0.965,0.8517,0.973,0.9904,0.0185,0.0325,0.0946,0.0604,0.829,none
27b,base,base_f16,cyber_only,4800,0.9642,0.7975,0.9736,0.991,0.0179,0.0827,0.1052,0.0525,0.7645,none
27b,base,base_f16,cyber_structural_equal,4800,0.9656,0.8329,0.9749,0.99,0.019,0.0531,0.0938,0.0485,0.8067,none
27b,base,base_f16,structural_only,4800,0.9633,0.8546,0.9732,0.9933,0.0192,0.0175,0.1019,0.0579,0.8343,none
27b,base,base_f16,tri_equal,4800,0.9637,0.8173,0.9735,0.9898,0.0202,0.0692,0.0942,0.0529,0.7872,none
27b,base,base_f16,tri_naive_all_fire,4800,0.9204,0.5458,0.9333,0.986,0.0467,0.3167,0.166,0.0496,0.4527,none
27b,base,base_f16,tri_routed_68_20_12,4800,0.9665,0.8458,0.9752,0.9888,0.0163,0.0377,0.0969,0.0498,0.8232,none
27b,base,base_f16,tri_routed_72_18_10,4800,0.9738,0.8508,0.9775,0.9908,0.0131,0.039,0.0958,0.0458,0.8291,none
27b,base,base_f16,tri_stability_70,4800,0.966,0.8458,0.9745,0.9906,0.0181,0.0394,0.0946,0.0519,0.8224,none
27b,base,base_f16,tri_structural_65,4800,0.969,0.8442,0.9759,0.9894,0.0175,0.0408,0.099,0.0452,0.8206,none
27b,base,collapsed_q2_edge,baseline,4800,0.0079,0.0075,0.094,0.3798,0.5004,0.0112,0.5221,3.9971,-0.3865,cascade
27b,base,collapsed_q2_edge,cognitive_25_structural_75,4800,0.3123,0.2354,0.5849,0.7971,0.23,0.0198,0.4069,1.4123,0.0593,none
27b,base,collapsed_q2_edge,cognitive_cyber_equal,4800,0.0956,0.0692,0.3527,0.7579,0.341,0.0735,0.4573,2.4802,-0.2084,cascade
27b,base,collapsed_q2_edge,cognitive_only,4800,0.0431,0.0331,0.2573,0.6683,0.3827,0.0419,0.4954,2.9925,-0.2793,cascade
27b,base,collapsed_q2_edge,cognitive_structural_equal,4800,0.2133,0.1604,0.5024,0.7942,0.2581,0.0308,0.4415,1.8004,-0.0485,primitive_gap
27b,base,collapsed_q2_edge,cyber_25_structural_75,4800,0.3554,0.2596,0.6074,0.7771,0.2233,0.029,0.3912,1.2767,0.0917,none
27b,base,collapsed_q2_edge,cyber_only,4800,0.0765,0.0544,0.2993,0.6658,0.35,0.0792,0.449,2.7292,-0.2388,cascade
27b,base,collapsed_q2_edge,cyber_structural_equal,4800,0.2623,0.1856,0.527,0.7573,0.2498,0.0554,0.404,1.6292,-0.0142,cascade
27b,base,collapsed_q2_edge,structural_only,4800,0.2504,0.1948,0.5089,0.6831,0.2517,0.0152,0.4267,1.6619,-0.001,cascade
27b,base,collapsed_q2_edge,tri_equal,4800,0.3071,0.2177,0.5841,0.8485,0.2452,0.0729,0.4071,1.4306,0.0255,cascade
27b,base,collapsed_q2_edge,tri_naive_all_fire,4800,0.4425,0.2354,0.6811,0.87,0.1871,0.309,0.4502,0.8908,0.0369,none
27b,base,collapsed_q2_edge,tri_routed_68_20_12,4800,0.5658,0.3935,0.753,0.864,0.166,0.0465,0.3925,0.709,0.2676,none
27b,base,collapsed_q2_edge,tri_routed_72_18_10,4800,0.5906,0.4227,0.7686,0.8635,0.1656,0.0327,0.3806,0.6348,0.3043,none
27b,base,collapsed_q2_edge,tri_stability_70,4800,0.5846,0.429,0.7575,0.8652,0.1698,0.0346,0.3698,0.6948,0.3068,none
27b,base,collapsed_q2_edge,tri_structural_65,4800,0.5377,0.3854,0.7349,0.8654,0.1698,0.0429,0.3877,0.7987,0.2549,none
27b,base,damaged_q2,baseline,4800,0.041,0.0323,0.2413,0.5125,0.3058,0.0129,0.41,3.0256,-0.2461,classification_miss
27b,base,damaged_q2,cognitive_25_structural_75,4800,0.6804,0.4996,0.8198,0.9254,0.1346,0.0235,0.3463,0.5056,0.4015,none
27b,base,damaged_q2,cognitive_cyber_equal,4800,0.2835,0.2077,0.5698,0.8796,0.2033,0.0821,0.3654,1.6073,0.0207,primitive_gap
27b,base,damaged_q2,cognitive_only,4800,0.169,0.1279,0.4649,0.8156,0.2375,0.0473,0.4142,2.0556,-0.0887,primitive_gap
27b,base,damaged_q2,cognitive_structural_equal,4800,0.5283,0.39,0.7342,0.9302,0.1485,0.0329,0.3627,0.9227,0.2637,none
27b,base,damaged_q2,cyber_25_structural_75,4800,0.6735,0.4965,0.8119,0.8727,0.1392,0.0315,0.3171,0.4829,0.3989,none
27b,base,damaged_q2,cyber_only,4800,0.234,0.1721,0.5021,0.7704,0.2146,0.0806,0.3798,1.8392,-0.0308,primitive_gap
27b,base,damaged_q2,cyber_structural_equal,4800,0.5465,0.3969,0.7366,0.851,0.1452,0.0542,0.335,0.8102,0.2752,none
27b,base,damaged_q2,structural_only,4800,0.5544,0.4113,0.7386,0.8227,0.1498,0.0173,0.3646,0.7794,0.2947,none
27b,base,damaged_q2,tri_equal,4800,0.6527,0.454,0.8036,0.9394,0.141,0.0712,0.3554,0.5835,0.3398,none
27b,base,damaged_q2,tri_naive_all_fire,4800,0.7285,0.3625,0.8427,0.9517,0.1354,0.316,0.3998,0.2552,0.2139,none
27b,base,damaged_q2,tri_routed_68_20_12,4800,0.8387,0.5919,0.9096,0.96,0.1087,0.0421,0.316,0.1331,0.5189,none
27b,base,damaged_q2,tri_routed_72_18_10,4800,0.8483,0.5962,0.9164,0.9625,0.1054,0.0385,0.3208,0.1031,0.5261,none
27b,base,damaged_q2,tri_stability_70,4800,0.846,0.5894,0.913,0.9613,0.1062,0.0396,0.3308,0.1158,0.5173,none
27b,base,damaged_q2,tri_structural_65,4800,0.8354,0.581,0.9068,0.9587,0.104,0.0417,0.3312,0.1473,0.5077,none
27b,base,damaged_q3,baseline,4800,0.2598,0.2202,0.5438,0.7217,0.1435,0.015,0.2681,1.7056,0.0674,primitive_gap
27b,base,damaged_q3,cognitive_25_structural_75,4800,0.9127,0.7037,0.9492,0.9885,0.0696,0.0233,0.235,0.0498,0.6569,none
27b,base,damaged_q3,cognitive_cyber_equal,4800,0.7538,0.5477,0.8631,0.9877,0.0938,0.0775,0.2673,0.4302,0.4612,none
27b,base,damaged_q3,cognitive_only,4800,0.5942,0.4596,0.7805,0.9779,0.1181,0.0456,0.2677,0.8102,0.3531,none
27b,base,damaged_q3,cognitive_structural_equal,4800,0.9046,0.6898,0.9463,0.9917,0.0756,0.0302,0.2419,0.0563,0.6389,none
27b,base,damaged_q3,cyber_25_structural_75,4800,0.9094,0.7102,0.949,0.986,0.0746,0.0338,0.2167,0.0458,0.6615,none
27b,base,damaged_q3,cyber_only,4800,0.6248,0.471,0.7918,0.9115,0.1052,0.0767,0.2508,0.681,0.37,none
27b,base,damaged_q3,cyber_structural_equal,4800,0.891,0.6748,0.9396,0.9744,0.0758,0.056,0.2285,0.0758,0.6188,none
27b,base,damaged_q3,structural_only,4800,0.8917,0.6923,0.9392,0.9683,0.0767,0.0171,0.2373,0.0667,0.6436,none
27b,base,damaged_q3,tri_equal,4800,0.9058,0.6719,0.947,0.991,0.076,0.066,0.2325,0.0537,0.6146,none
27b,base,damaged_q3,tri_naive_all_fire,4800,0.8777,0.4567,0.9118,0.9902,0.0915,0.3142,0.2902,0.0508,0.3406,none
27b,base,damaged_q3,tri_routed_68_20_12,4800,0.915,0.7029,0.9501,0.9917,0.071,0.0358,0.231,0.0475,0.6536,none
27b,base,damaged_q3,tri_routed_72_18_10,4800,0.9169,0.7123,0.9514,0.9879,0.0656,0.039,0.215,0.05,0.6651,none
27b,base,damaged_q3,tri_stability_70,4800,0.9123,0.6987,0.9499,0.9902,0.0698,0.0402,0.2258,0.05,0.6492,none
27b,base,damaged_q3,tri_structural_65,4800,0.9183,0.7023,0.9526,0.9917,0.0683,0.0469,0.215,0.0448,0.653,none
27b,base,damaged_q4,baseline,4800,0.4927,0.4196,0.7124,0.84,0.089,0.0117,0.2112,1.0577,0.3208,none
27b,base,damaged_q4,cognitive_25_structural_75,4800,0.9296,0.7667,0.9586,0.9896,0.0508,0.0169,0.1806,0.0512,0.731,none
27b,base,damaged_q4,cognitive_cyber_equal,4800,0.9154,0.7013,0.9487,0.9917,0.0638,0.074,0.1942,0.079,0.6479,none
27b,base,damaged_q4,cognitive_only,4800,0.8542,0.6708,0.9098,0.9898,0.0679,0.0444,0.2198,0.2723,0.6104,none
27b,base,damaged_q4,cognitive_structural_equal,4800,0.9306,0.7415,0.9566,0.989,0.0546,0.029,0.1958,0.0492,0.7012,none
27b,base,damaged_q4,cyber_25_structural_75,4800,0.9267,0.7525,0.9581,0.9892,0.055,0.035,0.175,0.0469,0.7127,none
27b,base,damaged_q4,cyber_only,4800,0.8662,0.6587,0.9173,0.9756,0.0596,0.0831,0.2019,0.2227,0.597,none
27b,base,damaged_q4,cyber_structural_equal,4800,0.9294,0.7342,0.9585,0.991,0.055,0.0554,0.1746,0.0485,0.6902,none
27b,base,damaged_q4,structural_only,4800,0.9217,0.75,0.9542,0.9896,0.0577,0.015,0.1935,0.0583,0.7113,none
27b,base,damaged_q4,tri_equal,4800,0.9308,0.7227,0.9577,0.9908,0.0527,0.0708,0.1842,0.0508,0.6755,none
27b,base,damaged_q4,tri_naive_all_fire,4800,0.8983,0.51,0.923,0.9902,0.0746,0.2958,0.2429,0.0456,0.4067,none
27b,base,damaged_q4,tri_routed_68_20_12,4800,0.9371,0.7517,0.9599,0.9915,0.0467,0.0429,0.1823,0.0531,0.7118,none
27b,base,damaged_q4,tri_routed_72_18_10,4800,0.9321,0.7558,0.9588,0.9883,0.0494,0.0373,0.1694,0.055,0.7173,none
27b,base,damaged_q4,tri_stability_70,4800,0.9331,0.7488,0.959,0.9923,0.0508,0.0398,0.1844,0.0506,0.7083,none
27b,base,damaged_q4,tri_structural_65,4800,0.9306,0.7417,0.959,0.989,0.0498,0.0456,0.181,0.0471,0.7008,none
27b,base,healthy_q6,baseline,4800,0.7873,0.6904,0.8698,0.9217,0.0452,0.0138,0.1452,0.4523,0.6399,none
27b,base,healthy_q6,cognitive_25_structural_75,4800,0.9494,0.8102,0.9662,0.9921,0.0354,0.0185,0.1429,0.0531,0.7818,none
27b,base,healthy_q6,cognitive_cyber_equal,4800,0.9385,0.7546,0.9617,0.9888,0.0435,0.071,0.1458,0.0577,0.7128,none
27b,base,healthy_q6,cognitive_only,4800,0.9375,0.7642,0.962,0.9904,0.0425,0.0467,0.1598,0.0552,0.7265,none
27b,base,healthy_q6,cognitive_structural_equal,4800,0.9494,0.7877,0.9651,0.9885,0.0356,0.0342,0.1475,0.0529,0.7557,none
27b,base,healthy_q6,cyber_25_structural_75,4800,0.9477,0.8131,0.9674,0.9915,0.0358,0.0275,0.1308,0.05,0.7839,none
27b,base,healthy_q6,cyber_only,4800,0.9392,0.7548,0.963,0.9879,0.0402,0.0781,0.1412,0.0556,0.713,none
27b,base,healthy_q6,cyber_structural_equal,4800,0.9546,0.7844,0.9669,0.9883,0.0275,0.0585,0.1385,0.0577,0.7504,none
27b,base,healthy_q6,structural_only,4800,0.9504,0.8142,0.9679,0.9919,0.0319,0.0142,0.1415,0.0515,0.7879,none
27b,base,healthy_q6,tri_equal,4800,0.9425,0.7588,0.9648,0.9902,0.0421,0.0733,0.1444,0.045,0.7177,none
27b,base,healthy_q6,tri_naive_all_fire,4800,0.9125,0.536,0.9291,0.9906,0.0587,0.2985,0.2048,0.0517,0.4397,none
27b,base,healthy_q6,tri_routed_68_20_12,4800,0.9563,0.806,0.9692,0.99,0.0302,0.0433,0.1281,0.0488,0.7756,none
27b,base,healthy_q6,tri_routed_72_18_10,4800,0.9483,0.7973,0.9677,0.991,0.0331,0.0385,0.1367,0.0481,0.7663,none
27b,base,healthy_q6,tri_stability_70,4800,0.9542,0.806,0.9686,0.9908,0.0306,0.0383,0.131,0.0504,0.7762,none
27b,base,healthy_q6,tri_structural_65,4800,0.9527,0.7877,0.9682,0.991,0.0331,0.0506,0.1385,0.0462,0.7542,none
27b,base,healthy_q8,baseline,4800,0.8204,0.7223,0.8893,0.9327,0.0312,0.0146,0.1302,0.3875,0.6802,none
27b,base,healthy_q8,cognitive_25_structural_75,4800,0.9542,0.8306,0.9709,0.9896,0.0254,0.0217,0.1219,0.0479,0.8065,none
27b,base,healthy_q8,cognitive_cyber_equal,4800,0.9592,0.7777,0.9702,0.989,0.024,0.0794,0.1285,0.0515,0.7418,none
27b,base,healthy_q8,cognitive_only,4800,0.9492,0.8035,0.9673,0.9873,0.0329,0.0404,0.1265,0.0512,0.7729,none
27b,base,healthy_q8,cognitive_structural_equal,4800,0.9621,0.8208,0.9718,0.9904,0.0235,0.0329,0.1246,0.0485,0.7948,none
27b,base,healthy_q8,cyber_25_structural_75,4800,0.9546,0.8292,0.9703,0.99,0.0292,0.0304,0.1131,0.0508,0.8027,none
27b,base,healthy_q8,cyber_only,4800,0.9492,0.7794,0.967,0.9881,0.0296,0.0717,0.1288,0.0575,0.743,none
27b,base,healthy_q8,cyber_structural_equal,4800,0.9608,0.8033,0.9708,0.9879,0.0227,0.0548,0.124,0.0504,0.7731,none
27b,base,healthy_q8,structural_only,4800,0.9571,0.8315,0.9701,0.9869,0.0273,0.0177,0.1246,0.0469,0.8074,none
27b,base,healthy_q8,tri_equal,4800,0.9577,0.7865,0.9708,0.9915,0.0279,0.0685,0.1256,0.0467,0.752,none
27b,base,healthy_q8,tri_naive_all_fire,4800,0.9227,0.5348,0.9325,0.9894,0.0483,0.3127,0.1852,0.049,0.4405,none
27b,base,healthy_q8,tri_routed_68_20_12,4800,0.9577,0.8106,0.9707,0.99,0.0256,0.0437,0.1273,0.0494,0.7815,none
27b,base,healthy_q8,tri_routed_72_18_10,4800,0.961,0.8252,0.9721,0.99,0.0233,0.0377,0.1135,0.0498,0.7991,none
27b,base,healthy_q8,tri_stability_70,4800,0.9625,0.8202,0.9722,0.9912,0.0206,0.039,0.1235,0.0512,0.7938,none
27b,base,healthy_q8,tri_structural_65,4800,0.9587,0.8156,0.9716,0.9888,0.024,0.0435,0.1194,0.0471,0.7878,none
27b,base,q1_k_m,baseline,4800,0.0006,0.0004,0.0202,0.1892,0.7258,0.0121,0.6017,4.7277,-0.5043,cascade
27b,base,q1_k_m,cognitive_25_structural_75,4800,0.0973,0.0769,0.3499,0.6265,0.3652,0.0202,0.49,2.3454,-0.1932,cascade
27b,base,q1_k_m,cognitive_cyber_equal,4800,0.0163,0.0138,0.1512,0.5785,0.5304,0.075,0.5467,3.5583,-0.382,cascade
27b,base,q1_k_m,cognitive_only,4800,0.0079,0.0058,0.0938,0.4925,0.6135,0.0446,0.5742,4.0465,-0.4354,cascade
27b,base,q1_k_m,cognitive_structural_equal,4800,0.0546,0.0433,0.2642,0.6106,0.4204,0.0373,0.5227,2.8254,-0.2733,cascade
27b,base,q1_k_m,cyber_25_structural_75,4800,0.1244,0.0952,0.3648,0.6202,0.3517,0.0317,0.4533,2.2894,-0.1674,cascade
27b,base,q1_k_m,cyber_only,4800,0.0156,0.0106,0.1297,0.4915,0.5329,0.0813,0.5035,3.7673,-0.3941,cascade
27b,base,q1_k_m,cyber_structural_equal,4800,0.091,0.0658,0.2993,0.6075,0.3931,0.049,0.4542,2.6415,-0.2303,cascade
27b,base,q1_k_m,structural_only,4800,0.0623,0.0494,0.2705,0.5135,0.4042,0.0165,0.5025,2.6894,-0.2498,cascade
27b,base,q1_k_m,tri_equal,4800,0.0979,0.07,0.349,0.6885,0.3694,0.0663,0.4958,2.4081,-0.2141,cascade
27b,base,q1_k_m,tri_naive_all_fire,4800,0.194,0.1087,0.4604,0.749,0.2931,0.3194,0.5379,1.7794,-0.1751,cascade
27b,base,q1_k_m,tri_routed_68_20_12,4800,0.234,0.1708,0.5078,0.7246,0.2821,0.0392,0.4804,1.645,-0.0423,cascade
27b,base,q1_k_m,tri_routed_72_18_10,4800,0.2481,0.175,0.5156,0.7206,0.2856,0.0377,0.4512,1.6069,-0.0347,cascade
27b,base,q1_k_m,tri_stability_70,4800,0.25,0.1852,0.5209,0.7219,0.2712,0.0369,0.4562,1.6004,-0.0201,cascade
27b,base,q1_k_m,tri_structural_65,4800,0.2208,0.1619,0.4871,0.7169,0.2919,0.049,0.4679,1.7429,-0.0601,cascade
27b,base,q8_k_m,baseline,4800,0.8525,0.7602,0.9034,0.941,0.0279,0.0119,0.1138,0.3335,0.7237,none
27b,base,q8_k_m,cognitive_25_structural_75,4800,0.9669,0.8488,0.9739,0.9915,0.019,0.0202,0.114,0.05,0.8274,none
27b,base,q8_k_m,cognitive_cyber_equal,4800,0.9615,0.7933,0.9716,0.9917,0.0219,0.074,0.1192,0.0544,0.7597,none
27b,base,q8_k_m,cognitive_only,4800,0.9581,0.8083,0.9709,0.9896,0.0244,0.046,0.1225,0.0506,0.7795,none
27b,base,q8_k_m,cognitive_structural_equal,4800,0.9604,0.836,0.9714,0.9896,0.0265,0.0262,0.115,0.0481,0.8112,none
27b,base,q8_k_m,cyber_25_structural_75,4800,0.9671,0.8329,0.9747,0.9929,0.0208,0.0348,0.1156,0.0433,0.8083,none
27b,base,q8_k_m,cyber_only,4800,0.9519,0.7854,0.9684,0.9896,0.029,0.0748,0.1169,0.0569,0.7496,none
27b,base,q8_k_m,cyber_structural_equal,4800,0.9642,0.8146,0.9726,0.991,0.0225,0.0565,0.1123,0.0502,0.785,none
27b,base,q8_k_m,structural_only,4800,0.9596,0.8456,0.9719,0.9915,0.0277,0.0196,0.1083,0.0483,0.8223,none
27b,base,q8_k_m,tri_equal,4800,0.9571,0.8029,0.9721,0.9896,0.0235,0.0698,0.1085,0.049,0.7708,none
27b,base,q8_k_m,tri_naive_all_fire,4800,0.9225,0.5269,0.9323,0.9898,0.0477,0.324,0.1856,0.0485,0.4305,none
27b,base,q8_k_m,tri_routed_68_20_12,4800,0.964,0.8206,0.9725,0.991,0.0208,0.044,0.1173,0.051,0.7936,none
27b,base,q8_k_m,tri_routed_72_18_10,4800,0.961,0.8344,0.9721,0.9902,0.024,0.0371,0.1056,0.0519,0.8087,none
27b,base,q8_k_m,tri_stability_70,4800,0.964,0.8344,0.974,0.9904,0.0215,0.0387,0.106,0.0465,0.8094,none
27b,base,q8_k_m,tri_structural_65,4800,0.9615,0.8221,0.9723,0.9888,0.0213,0.0465,0.1113,0.0512,0.795,none
27b,degraded_instruct,base_f16,baseline,4800,0.8904,0.8117,0.9241,0.9521,0.0152,0.0119,0.0881,0.2721,0.7841,none
27b,degraded_instruct,base_f16,cognitive_25_structural_75,4800,0.9652,0.8583,0.9747,0.9894,0.0177,0.03,0.0896,0.0533,0.8372,none
27b,degraded_instruct,base_f16,cognitive_cyber_equal,4800,0.954,0.779,0.9698,0.99,0.0262,0.0819,0.1225,0.0527,0.7423,none
27b,degraded_instruct,base_f16,cognitive_only,4800,0.9571,0.8063,0.9708,0.991,0.0246,0.0525,0.1181,0.0552,0.7762,none
27b,degraded_instruct,base_f16,cognitive_structural_equal,4800,0.9635,0.836,0.974,0.9898,0.019,0.0383,0.106,0.0492,0.8117,none
27b,degraded_instruct,base_f16,cyber_25_structural_75,4800,0.9644,0.8452,0.9746,0.9904,0.0198,0.0329,0.1,0.0475,0.8223,none
27b,degraded_instruct,base_f16,cyber_only,4800,0.9556,0.7815,0.9701,0.9898,0.0265,0.086,0.1148,0.0533,0.7445,none
27b,degraded_instruct,base_f16,cyber_structural_equal,4800,0.9658,0.8169,0.9751,0.9919,0.0196,0.0608,0.1056,0.0444,0.7882,none
27b,degraded_instruct,base_f16,structural_only,4800,0.9606,0.8565,0.9731,0.99,0.019,0.0156,0.1025,0.0544,0.8367,none
27b,degraded_instruct,base_f16,tri_equal,4800,0.9619,0.8094,0.9722,0.9896,0.0229,0.0704,0.1042,0.0527,0.7774,none
27b,degraded_instruct,base_f16,tri_naive_all_fire,4800,0.9233,0.5406,0.9346,0.9915,0.0467,0.3081,0.1808,0.0469,0.4482,none
27b,degraded_instruct,base_f16,tri_routed_68_20_12,4800,0.9596,0.8248,0.9725,0.9904,0.0229,0.0479,0.1044,0.0502,0.7975,none
27b,degraded_instruct,base_f16,tri_routed_72_18_10,4800,0.9667,0.844,0.9741,0.9904,0.0177,0.039,0.1015,0.0533,0.8201,none
27b,degraded_instruct,base_f16,tri_stability_70,4800,0.966,0.8308,0.9743,0.99,0.0196,0.0473,0.1033,0.0479,0.8048,none
27b,degraded_instruct,base_f16,tri_structural_65,4800,0.9665,0.8348,0.9752,0.9902,0.0169,0.0494,0.1025,0.0475,0.8093,none
27b,degraded_instruct,collapsed_q2_edge,baseline,4800,0.0085,0.0073,0.0958,0.3798,0.4921,0.009,0.5115,4.0023,-0.3832,cascade
27b,degraded_instruct,collapsed_q2_edge,cognitive_25_structural_75,4800,0.3102,0.2346,0.5774,0.7731,0.2221,0.0204,0.4158,1.4379,0.0587,none
27b,degraded_instruct,collapsed_q2_edge,cognitive_cyber_equal,4800,0.055,0.0433,0.2767,0.6579,0.3702,0.0767,0.464,2.8581,-0.2631,cascade
27b,degraded_instruct,collapsed_q2_edge,cognitive_only,4800,0.0275,0.021,0.1961,0.5852,0.4363,0.0544,0.514,3.3146,-0.3276,cascade
27b,degraded_instruct,collapsed_q2_edge,cognitive_structural_equal,4800,0.1737,0.1302,0.4536,0.7492,0.27,0.04,0.4502,2.0002,-0.0948,primitive_gap
27b,degraded_instruct,collapsed_q2_edge,cyber_25_structural_75,4800,0.3335,0.2517,0.5881,0.7638,0.2215,0.0342,0.3869,1.3613,0.0794,none
27b,degraded_instruct,collapsed_q2_edge,cyber_only,4800,0.0488,0.0346,0.2372,0.5867,0.3846,0.0829,0.4681,3.0654,-0.2881,cascade
27b,degraded_instruct,collapsed_q2_edge,cyber_structural_equal,4800,0.2208,0.1592,0.4909,0.7312,0.2658,0.0656,0.4098,1.7846,-0.0557,cascade
27b,degraded_instruct,collapsed_q2_edge,structural_only,4800,0.2521,0.2008,0.5193,0.6854,0.241,0.0173,0.4192,1.621,0.0105,cascade
27b,degraded_instruct,collapsed_q2_edge,tri_equal,4800,0.2419,0.1731,0.5267,0.7856,0.2585,0.0808,0.4204,1.6552,-0.037,cascade
27b,degraded_instruct,collapsed_q2_edge,tri_naive_all_fire,4800,0.3367,0.1808,0.6044,0.8117,0.2183,0.3296,0.4646,1.1746,-0.0465,cascade
27b,degraded_instruct,collapsed_q2_edge,tri_routed_68_20_12,4800,0.5342,0.3798,0.7287,0.849,0.18,0.0462,0.3971,0.799,0.2448,none
27b,degraded_instruct,collapsed_q2_edge,tri_routed_72_18_10,4800,0.5631,0.394,0.7476,0.8565,0.1794,0.0415,0.3904,0.7144,0.2649,none
27b,degraded_instruct,collapsed_q2_edge,tri_stability_70,4800,0.5444,0.3865,0.7362,0.8417,0.17,0.0442,0.3983,0.7704,0.2562,none
27b,degraded_instruct,collapsed_q2_edge,tri_structural_65,4800,0.5056,0.3588,0.7084,0.8313,0.1773,0.051,0.3908,0.8812,0.22,none
27b,degraded_instruct,damaged_q2,baseline,4800,0.044,0.0365,0.2398,0.5204,0.3125,0.0154,0.4323,3.0396,-0.2469,cascade
27b,degraded_instruct,damaged_q2,cognitive_25_structural_75,4800,0.6642,0.4869,0.8081,0.9169,0.1406,0.0265,0.3533,0.549,0.3837,none
27b,degraded_instruct,damaged_q2,cognitive_cyber_equal,4800,0.1927,0.1412,0.4852,0.8096,0.2263,0.081,0.3958,1.9371,-0.0714,primitive_gap
27b,degraded_instruct,damaged_q2,cognitive_only,4800,0.116,0.0904,0.3884,0.7292,0.269,0.0485,0.429,2.3702,-0.1528,primitive_gap
27b,degraded_instruct,damaged_q2,cognitive_structural_equal,4800,0.4498,0.3342,0.6912,0.8881,0.1654,0.0421,0.3819,1.0569,0.1927,none
27b,degraded_instruct,damaged_q2,cyber_25_structural_75,4800,0.6631,0.496,0.8066,0.8652,0.1331,0.0365,0.3104,0.5133,0.3983,none
27b,degraded_instruct,damaged_q2,cyber_only,4800,0.164,0.1106,0.4346,0.7212,0.24,0.0829,0.3923,2.1165,-0.1152,primitive_gap
27b,degraded_instruct,damaged_q2,cyber_structural_equal,4800,0.4935,0.36,0.7075,0.8263,0.155,0.0577,0.3446,0.9181,0.2285,none
27b,degraded_instruct,damaged_q2,structural_only,4800,0.579,0.4327,0.7531,0.8313,0.1446,0.015,0.3583,0.7242,0.3215,none
27b,degraded_instruct,damaged_q2,tri_equal,4800,0.5577,0.3944,0.7481,0.8975,0.1506,0.0762,0.3567,0.804,0.2652,none
27b,degraded_instruct,damaged_q2,tri_naive_all_fire,4800,0.6271,0.3154,0.7877,0.9042,0.1483,0.329,0.4258,0.4471,0.1487,none
27b,degraded_instruct,damaged_q2,tri_routed_68_20_12,4800,0.8292,0.5842,0.9011,0.946,0.1071,0.0492,0.3194,0.1625,0.5085,none
27b,degraded_instruct,damaged_q2,tri_routed_72_18_10,4800,0.8408,0.591,0.9106,0.9504,0.1019,0.0394,0.3287,0.1229,0.5202,none
27b,degraded_instruct,damaged_q2,tri_stability_70,4800,0.8283,0.5787,0.9037,0.944,0.111,0.0402,0.3285,0.1348,0.5044,none
27b,degraded_instruct,damaged_q2,tri_structural_65,4800,0.8142,0.5654,0.8934,0.9421,0.111,0.0571,0.3325,0.1848,0.4848,none
27b,degraded_instruct,damaged_q3,baseline,4800,0.2554,0.219,0.5359,0.7206,0.1427,0.0108,0.2796,1.7433,0.0644,primitive_gap
27b,degraded_instruct,damaged_q3,cognitive_25_structural_75,4800,0.9085,0.6985,0.9474,0.9912,0.0767,0.026,0.2358,0.0496,0.649,none
27b,degraded_instruct,damaged_q3,cognitive_cyber_equal,4800,0.6167,0.4542,0.7933,0.9596,0.1127,0.0846,0.2742,0.7167,0.3457,none
27b,degraded_instruct,damaged_q3,cognitive_only,4800,0.4692,0.3648,0.7093,0.9269,0.1352,0.054,0.2942,1.0837,0.2357,none
27b,degraded_instruct,damaged_q3,cognitive_structural_equal,4800,0.8981,0.6735,0.9413,0.9912,0.0794,0.0333,0.2483,0.0748,0.6195,none
27b,degraded_instruct,damaged_q3,cyber_25_structural_75,4800,0.9038,0.696,0.9456,0.9838,0.0723,0.0369,0.2263,0.0592,0.6459,none
27b,degraded_instruct,damaged_q3,cyber_only,4800,0.5233,0.3927,0.7335,0.8758,0.1281,0.0896,0.2702,0.8952,0.27,none
27b,degraded_instruct,damaged_q3,cyber_structural_equal,4800,0.8696,0.6567,0.9285,0.9631,0.0858,0.0519,0.236,0.1002,0.5966,none
27b,degraded_instruct,damaged_q3,structural_only,4800,0.8956,0.6996,0.9418,0.9785,0.076,0.0167,0.244,0.0621,0.6508,none
27b,degraded_instruct,damaged_q3,tri_equal,4800,0.8979,0.6471,0.9434,0.9888,0.0821,0.0823,0.2406,0.0565,0.5839,none
27b,degraded_instruct,damaged_q3,tri_naive_all_fire,4800,0.8708,0.4481,0.9093,0.9881,0.0923,0.3231,0.2996,0.0515,0.3293,none
